dteday,season,hr,holiday,workingday,weathersit,hum,windspeed,temp_c,feels_like_c,casual,registered
1/1/11,1,0,0,0,1,0.81,0,3.28,3.0014,3,13
1/1/11,1,1,0,0,1,0.8,0,2.34,1.9982,8,32
1/1/11,1,2,0,0,1,0.8,0,2.34,1.9982,5,27
1/1/11,1,3,0,0,1,0.75,0,3.28,3.0014,3,10
1/1/11,1,4,0,0,1,0.75,0,3.28,3.0014,0,1
1/1/11,1,5,0,0,2,0.75,6,3.28,1.0016,0,1
1/1/11,1,6,0,0,1,0.8,0,2.34,1.9982,2,0
1/1/11,1,7,0,0,1,0.86,0,1.4,1.0016,1,2
1/1/11,1,8,0,0,1,0.75,0,3.28,3.0014,1,7
1/1/11,1,9,0,0,1,0.76,0,7.04,7.001,8,6
1/1/11,1,10,0,0,1,0.76,17,9.86,9.9974,12,24
1/1/11,1,11,0,0,1,0.81,19,8.92,5.9978,26,30
1/1/11,1,12,0,0,1,0.77,19,11.74,11.9972,29,55
1/1/11,1,13,0,0,2,0.72,20,13.62,13.997,47,47
1/1/11,1,14,0,0,2,0.72,19,13.62,13.997,35,71
1/1/11,1,15,0,0,2,0.77,20,12.68,13.0004,40,70
1/1/11,1,16,0,0,2,0.82,20,11.74,11.9972,41,52
1/1/11,1,17,0,0,2,0.82,19,12.68,13.0004,15,52
1/1/11,1,18,0,0,3,0.88,17,11.74,11.9972,9,26
1/1/11,1,19,0,0,3,0.88,17,11.74,11.9972,6,31
1/1/11,1,20,0,0,2,0.87,17,10.8,11.0006,11,25
1/1/11,1,21,0,0,2,0.87,13,10.8,11.0006,3,31
1/1/11,1,22,0,0,2,0.94,15,10.8,11.0006,11,17
1/1/11,1,23,0,0,2,0.88,20,13.62,13.997,15,24
1/2/11,1,0,0,0,2,0.88,20,13.62,13.997,4,13
1/2/11,1,1,0,0,2,0.94,17,12.68,13.0004,1,16
1/2/11,1,2,0,0,2,1,19,11.74,11.9972,1,8
1/2/11,1,3,0,0,2,0.94,13,13.62,13.997,2,4
1/2/11,1,4,0,0,2,0.94,13,13.62,13.997,2,1
1/2/11,1,6,0,0,3,0.77,20,11.74,11.9972,0,2
1/2/11,1,7,0,0,2,0.76,13,10.8,11.0006,0,1
1/2/11,1,8,0,0,3,0.71,15,10.8,11.0006,0,8
1/2/11,1,9,0,0,2,0.76,15,9.86,9.9974,1,19
1/2/11,1,10,0,0,2,0.81,15,8.92,7.001,7,46
1/2/11,1,11,0,0,2,0.71,17,8.92,5.9978,16,54
1/2/11,1,12,0,0,2,0.66,20,8.92,5.9978,20,73
1/2/11,1,13,0,0,2,0.66,9,8.92,7.001,11,64
1/2/11,1,14,0,0,3,0.76,13,8.92,7.001,4,55
1/2/11,1,15,0,0,3,0.81,11,7.98,5.9978,19,55
1/2/11,1,16,0,0,3,0.71,11,7.98,5.9978,9,67
1/2/11,1,17,0,0,1,0.57,13,7.98,5.9978,7,58
1/2/11,1,18,0,0,2,0.46,22,8.92,5.9978,10,43
1/2/11,1,19,0,0,1,0.42,30,7.04,3.0014,1,29
1/2/11,1,20,0,0,1,0.39,24,6.1,1.9982,5,17
1/2/11,1,21,0,0,1,0.44,22,4.22,-0.9982,11,20
1/2/11,1,22,0,0,1,0.44,20,3.28,-2.0014,0,9
1/2/11,1,23,0,0,1,0.47,11,2.34,-0.9982,0,8
1/3/11,1,0,0,1,1,0.44,24,2.34,-2.998,0,5
1/3/11,1,1,0,1,1,0.44,28,1.4,-4.9978,0,2
