dteday,hr,temp_c,feels_like_c,hum,windspeed,weathersit,season,holiday,workingday
11/1/2023,0.0,6,3.8,0.6359,10.8,1,4,0,1
11/1/2023,1.0,6,3.4,0.6333,12.7,1,4,0,1
11/1/2023,2.0,5.3,2.6,0.6598,12,1,4,0,1
11/1/2023,3.0,5.1,3.8,0.6636,6.3,1,4,0,1
11/1/2023,4.0,4,1.8,0.7192000000000001,8.4,1,4,0,1
11/1/2023,5.0,4.5,1.3,0.6689,14.2,1,4,0,1
11/1/2023,6.0,6.5,3.1,0.5875,18.4,2,4,0,1
11/1/2023,7.0,6.5,2.5,0.5971,25.1,2,4,0,1
11/1/2023,8.0,6,1.8,0.5728,24.8,1,4,0,1
11/1/2023,9.0,5.5,1.4,0.4891,22.7,1,4,0,1
11/1/2023,10.0,5.5,0.7,0.4633,29.5,1,4,0,1
11/1/2023,11.0,6.9,2.9,0.4364,26.2,1,4,0,1
11/1/2023,12.0,7.7,3.5,0.3826,31.8,1,4,0,1
11/1/2023,13.0,9.1,5.5,0.379,29,1,4,0,1
11/1/2023,14.0,9.8,6.5,0.3759,27.1,1,4,0,1
11/1/2023,15.0,9.8,6.2,0.36460000000000004,32.2,1,4,0,1
11/1/2023,16.0,9.8,6.1,0.3795,33.4,1,4,0,1
11/1/2023,17.0,8.7,4.8,0.39280000000000004,31.5,1,4,0,1
11/1/2023,18.0,7.7,3.3,0.4023,34.7,1,4,0,1
11/1/2023,19.0,6.9,4.1,0.4482,14.9,1,4,0,1
11/1/2023,20.0,6.4,3.3,0.44170000000000004,15.8,1,4,0,1
11/1/2023,21.0,5.9,3.6,0.4693,11,1,4,0,1
11/1/2023,22.0,5.4,2.8,0.4548,11.5,1,4,0,1
11/1/2023,23.0,4.6,2.3,0.5038,9.4,1,4,0,1
11/2/2023,0.0,4.6,1.4,0.5032,14.1,1,4,0,1
11/2/2023,1.0,4.1,0.2,0.5417000000000001,17.5,1,4,0,1
11/2/2023,2.0,4,0.2,0.5629,17,1,4,0,1
11/2/2023,3.0,2.6,-0.9,0.6219,13.4,1,4,0,1
11/2/2023,4.0,2.9,-0.7,0.612,14.9,1,4,0,1
11/2/2023,5.0,2.4,-0.5,0.6329,10.2,1,4,0,1
11/2/2023,6.0,1.8,-0.2,0.6616,6.7,1,4,0,1
11/2/2023,7.0,0.6,-2.7,0.6981,10.8,1,4,0,1
11/2/2023,8.0,2,2,0.6058,0,1,4,0,1
11/2/2023,9.0,4.4,2.8,0.5405,6.7,1,4,0,1
11/2/2023,10.0,6.5,4.6,0.45740000000000003,9.4,1,4,0,1
11/2/2023,11.0,8.3,6.4,0.4322,10.9,1,4,0,1
11/2/2023,12.0,9.3,7.2,0.3538,14.2,1,4,0,1
11/2/2023,13.0,9.9,8.6,0.3225,10.1,1,4,0,1
11/2/2023,14.0,10.1,10.1,0.2999,9.8,1,4,0,1
11/2/2023,15.0,11.1,11.1,0.2926,11,1,4,0,1
11/2/2023,16.0,11,11,0.3011,11.7,1,4,0,1
11/2/2023,17.0,10.5,10.5,0.2999,12.2,1,4,0,1
11/2/2023,18.0,8.8,7.3,0.3398,9.7,1,4,0,1
11/2/2023,19.0,8.1,6.9,0.3688,7.8,1,4,0,1
11/2/2023,20.0,7.4,5.3,0.4489,11.2,1,4,0,1
11/2/2023,21.0,6.8,4.8,0.5242,9.7,1,4,0,1
11/2/2023,22.0,6.3,3.4,0.5189,14.9,1,4,0,1
11/2/2023,23.0,6.7,3.5,0.6289,18,1,4,0,1
11/3/2023,0.0,5.2,2.3,0.7020000000000001,13.2,1,4,0,1
11/3/2023,1.0,4.8,1.5,0.728,14.7,1,4,0,1
11/3/2023,2.0,5.2,2,0.7333,14.6,1,4,0,1
11/3/2023,3.0,5.2,2.3,0.7356,12.9,1,4,0,1
11/3/2023,4.0,4.7,1.7,0.7831999999999999,13.1,1,4,0,1
11/3/2023,5.0,3.6,1,0.8165,9.9,1,4,0,1
11/3/2023,6.0,2.7,0,0.8442000000000001,9.7,1,4,0,1
11/3/2023,7.0,3,1.8,0.8425,5.1,1,4,0,1
11/3/2023,8.0,3,1.1,0.8193,6.9,1,4,0,1
11/3/2023,9.0,5,3.5,0.8064,6.9,1,4,0,1
11/3/2023,10.0,7.2,4.9,0.6977,12.5,1,4,0,1
11/3/2023,11.0,9.5,7.4,0.5718,14.1,1,4,0,1
11/3/2023,12.0,12.2,12.2,0.4229,19.7,1,4,0,1
11/3/2023,13.0,13.7,13.7,0.3538,19.1,1,4,0,1
11/3/2023,14.0,14.9,14.9,0.32689999999999997,17.1,1,4,0,1
11/3/2023,15.0,15.5,15.5,0.3054,14.5,1,4,0,1
11/3/2023,16.0,15.5,15.5,0.33740000000000003,13.8,1,4,0,1
