Year,Month,Day,Hours,Minutes,Time-since-start,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016,5,10,14,50,17267,60,0,25.2,47.12666667,25.6,43.9,26.7,42.09,25.5,44.79,23.96333333,49.9,23.89,6.823333333,24.89,44.5,25.29,48.2,24.1,47.52571429,1.88E+01,750.15,78,4.5,40,1.48E+01,41.35872498,41.35872498
2016,5,4,21,50,16445,60,0,23.39,33.79,21.85666667,33.5,23.1,35.5,23,33,21.1,40.66333333,8.926666667,7.963333333,22.412,33.376,25,37.89857143,20.39,34.46333333,1.09E+01,764.2833333,57.33333333,3,40,2.77E+00,9.024851595,9.024851595
2016,3,16,20,20,9380,140,20,22.6,37.36,20.2,37.69333333,23.6,35.82666667,21.79,33.82666667,18.7,44.2,5.06,24.73333333,20.23,25,23.6,33.53,19.6,36.2,5.27E+00,765.2,62,5.666666667,23.33333333,-1.50E+00,49.29175731,49.29175731
2016,3,19,2,30,9705,50,0,21.79,36.76,19,39.79,21.79,36.5,20.06666667,34.96666667,18.39,46.79,5.123333333,66.8,19.63333333,31.13333333,22.29,43.09,19.7,39.56,4.70E+00,762.3,92,3.5,62.5,3.50E+00,0.102887908,0.102887908
2016,3,11,5,40,8572,50,0,20.5,36.2,16.79,41.56,20.39,37.145,19.89,34,17.79,49.96666667,0.233333333,70.39333333,19.4725,35.475,21,43,18.16666667,41.09,-7.67E-01,763.6,93.66666667,1.333333333,33,-1.70E+00,8.882973576,8.882973576
2016,5,20,3,50,18641,50,0,22.92666667,41.29,20.89,43.036,24.7,40,22.79,40.32666667,21.89,54.356,10.39,49.02666667,22.86142857,36.66857143,23.58571429,43.75142857,22.6,44.29,9.97E+00,757.7,93.5,4.666666667,30.83333333,8.92E+00,39.86076984,39.86076984
2016,2,3,19,20,3326,120,20,22.39,48.29333333,21.5,44.26666667,22.79,44.78,21.42666667,42.62333333,18.89,54.4,5.59,75.43333333,18.6,35.275,22.205,42.705,18.39,42.79,5.23E+00,763.4666667,80.33333333,3.666666667,40,2.07E+00,30.09679483,30.09679483
2016,4,13,4,40,13318,50,0,21.89,41.2,19.2,44.5,24.39,39.82666667,22.39,37.9,20.85,52.554,5.463333333,54.59666667,21.39,34.59,22.87571429,45.12428571,21,43.59,5.83E+00,750.6666667,89,1,40,4.17E+00,33.14917034,33.14917034
2016,5,16,14,10,18127,90,10,23.39,41.43333333,22.89,37.54857143,24.57142857,36.98285714,23.6,35.79,22.62,40.718,16.35666667,1,23.5,29.96333333,25.1,37.514,22.89,39.65666667,1.28E+01,761.0666667,56.33333333,1,40,4.25E+00,48.08197711,48.08197711
2016,5,9,14,10,17119,240,0,25.1,40.46666667,27.03333333,34.46666667,26.39,37.79,25.16666667,39,23.29,43.29,27.07142857,1,24.1,37.59,23.89,42.13714286,23.6,41.4,2.28E+01,752.8,45.66666667,3,40,1.05E+01,9.666577086,9.666577086
2016,3,29,17,50,11237,120,0,22.6,43.93333333,21.13333333,41.9,22.79,38.65666667,21.42666667,38.06666667,20.2,49.82666667,12.96333333,12.73,21.6,30.5,24.79,39.06,20.6,40,1.20E+01,751.3166667,54.33333333,6,38,3.05E+00,16.90778282,16.90778282
